state_calc,year_group,mean_stigma_ahs,mean_stigma_ahs_se,mean_stigma_gss,mean_stigma_gss_se,mean_stigma_family,mean_stigma_family_se,mean_knowledge_aware,mean_knowledge_aware_se,mean_risk_behavior,mean_risk_behavior_se,mean_talkhiv,mean_talkhiv_se,mean_illicit,mean_illicit_se,mean_homeless_col,mean_homeless_col_se,mean_insur_bin,mean_insur_bin_se,mean_urbrur,mean_urbrur_se,mean_out_gi,mean_out_gi_se,mean_out_gid,mean_out_gid_se,mean_out_gic,mean_out_gic_se,mean_seehcp,mean_seehcp_se,n
IA,2017-2018,0.10039419848598907,0.04364972827944346,0.3823210603625312,0.06676177220386181,0.2775320542526049,0.05837985970168928,0.42386516390884565,0.07281156091330354,0.17565747023807343,0.04972778082665624,0.14781812156953153,0.053037002646571046,0.329413782414339,0.06392161349840006,0.05571573409337946,0.025328753529747745,0.9720211119997157,0.017050164425433723,0.6472533339904931,0.07074301338565865,0.9497005981111404,0.04351098586101236,0.6862556779546019,0.08690493078237288,0.6932195122425513,0.08503325222387442,0.9050275388274155,0.04616911155183216,146
IA,2019-2020,0.13177571156809437,0.06650530013413922,0.4165166851547946,0.1042885553278881,0.6218003840621928,0.10359330523466302,0.584782136654151,0.11033272343142154,0.12012938285961212,0.05734006566500037,0.11766647449934191,0.07252479492306986,0.26747392821883076,0.08051422275395537,0.12539042520669633,0.06404567056425707,0.3589051728212296,0.09530302672272496,0.7310920704266518,0.10022757570617676,0.824347225149108,0.09699950101635701,0.7536726742924529,0.08218734503763447,0.8206112663822492,0.08313464164288055,0.936596188656489,0.029095091308344548,56
IA,2021-2022,0.2020994335671997,0.10955982484269872,0.33694431896176025,0.11248835343252726,0.3306158057758666,0.11518800359321524,0.5867709660429683,0.10041249625230543,0.18408672795760284,0.07144572407653026,0.01367434619729753,0.007844488228903934,0.31748167509320585,0.0911499495008005,0.09101167534749612,0.05643893323935316,0.9371244742860109,0.057495031598033104,0.5089097710064544,0.09756020923916651,0.9069924610706621,0.06742618950023743,0.8622952538901347,0.06710620530184418,0.7785652568080922,0.07714083129700793,0.8194739560506696,0.08353942304778664,85
IA,2023-2024,0.00435168984383884,0.003393517187382509,0.46907049168992515,0.16801425373088205,0.279201614630516,0.1422103857842156,0.360823760004258,0.12981767555335288,0.24220972334191465,0.1266990650056949,0.13055381931333543,0.1250896142111131,0.2783793364249995,0.11406602772690227,0.17609814070049706,0.0961124512669652,0.9292091459900456,0.06863515809135359,0.4465963557604782,0.20133140158928056,0.993866117833094,0.006342981224373036,0.4765244744024646,0.14246945202823835,0.7450473184938103,0.1308652252536345,0.967812957399186,0.03246319990570185,37
ID,2015-2016,0,0,0.31571536666435757,0.1473243947496867,0.39741175861865,0.16381310621174816,0.4562542533742404,0.0882187175845828,0.24740095404101758,0.09120988727189691,0.14665660696264254,0.05795109023988948,0.17840538193791722,0.05503048998986219,0.035520876302455325,0.028345640101713445,0.8527740503372528,0.05021432892223216,0.7305672143077797,0.06818967525340988,0.910186384655445,0.04478343745849168,0.6283356242466934,0.09772742033707818,0.796464542121174,0.09872198219975954,0.8539350904706821,0.052928868561726405,62
ID,2017-2018,0.1125050012492232,0.04283679230814594,0.286059326904423,0.06421651313997556,0.17654234925977658,0.06091261876073963,0.43163559202738344,0.08557438766831764,0.16286756851086714,0.06787900214346607,0.11470025162893852,0.04815073473097005,0.3327770094614294,0.07853335702336925,0.07966741429577046,0.04297593006683898,0.8815253528555848,0.038311088307090166,0.752141457493899,0.06934725911304161,0.9278528149945454,0.03920684931268305,0.7931060097131185,0.06550382523008447,0.8003909121672833,0.06697309428498219,0.8399936819528249,0.05168421066922648,74
ID,2021-2022,0.05577044014823141,0.04581348127820107,0.18050798036338234,0.0797257634333584,0.25058720463292505,0.1114936150151747,0.5418703112366963,0.1455036631420808,0.3877756007841606,0.13259286242178708,0.11913348825989858,0.07953223195812956,0.23900279751221912,0.0986422783183144,0.19263025240416715,0.12239580968936019,0.9855295724681559,0.009190508763583705,0.7019028218588169,0.12673940585894408,0.9550068665464013,0.037330978892400134,0.7140820475657812,0.13205756319698855,0.7643236419882096,0.12914777079013867,0.8470417060233453,0.10825883452140864,36
IL,2015-2016,0.215906432760106,0.05433018417780643,0.464812053003312,0.06912439756971402,0.4115932097360256,0.06736820921954642,0.48466931135253,0.032358741136735966,0.22290884838894776,0.026675100353698106,0.19293516014167117,0.026760810708867912,0.314536544752237,0.02858665745388578,0.08212824187878033,0.030654082907878608,0.8827241621942399,0.02134122543803583,0.9033525984732154,0.01865562417588927,0.9169783238826926,0.016832823800093263,0.7262874607254638,0.03015870921286118,0.7467585507671453,0.02898152149685885,0.9092024794804199,0.016436441546873945,621
IL,2017-2018,0.12471937437464803,0.021169805619273768,0.38130640992925446,0.030892638080240887,0.19215691027403695,0.02676867299743085,0.37710867634847617,0.03142406104866897,0.2633549407487653,0.028811105394356877,0.19601873852975776,0.02864564813030142,0.3603969617579104,0.030326708181770187,0.06478923893367895,0.016538590703638088,0.9058301045569896,0.018691279432251084,0.9223669098783084,0.01565846337206046,0.9385023948898971,0.013022219868297913,0.7754333046587587,0.031619778501045796,0.8093628371206882,0.029962662302155437,0.9056337101165477,0.015395864054217653,615
IL,2019-2020,0.083446956775298,0.022956227387138605,0.2962989106958206,0.03739133707625858,0.19797734163727435,0.03590854231777804,0.5500578812424657,0.0461318346603587,0.30034335484445474,0.039925371154091824,0.16397148045211526,0.032898934054339746,0.294157375297849,0.03758798614986094,0.07373208169179749,0.020839228548749318,0.7808160826191319,0.03083479415172214,0.8853613794717011,0.031134202157445192,0.9249070347932622,0.021824529203848777,0.7031584624736239,0.04171547596789905,0.8105049568301078,0.03491147773228442,0.9130311072827381,0.02258194815262746,307
IL,2021-2022,0.08953431537619846,0.029821964371223045,0.3711102395176378,0.04237696288793104,0.17151464179773362,0.03321383281354255,0.6153179347891435,0.04079059203869825,0.41586650017093046,0.03715980326895407,0.1977810569186542,0.03538831013312096,0.33224323019055146,0.036205098828922526,0.05588056790442522,0.017874671850422262,0.9013081659077536,0.024709526427894292,0.8989251688912494,0.023266602765445194,0.9205171697905867,0.02257404730470308,0.8255676464150817,0.03000671946384893,0.8186298899710637,0.0313166887244833,0.855448580937784,0.026763832619213574,475
IL,2023-2024,0.1543549181471176,0.03947314797940877,0.3792376662420261,0.05189861244809002,0.2070286338106412,0.044842337158446544,0.665012137969959,0.051184870147139606,0.44883265665069305,0.04909053506242528,0.15194487531997114,0.057834986033468115,0.34641350764010775,0.04768799338163974,0.09108947566038686,0.030850864587427328,0.9260677115367482,0.02905675932661644,0.8708174013864136,0.05496600468749254,0.9572392722212615,0.01739839177193837,0.8029380066436622,0.041323883112020766,0.7709882157936445,0.04305280575082779,0.9302293213991826,0.025917949433836098,244
IN,2015-2016,0.2922169302765536,0.09355671941031564,0.6759450142766205,0.09224317063473671,0.6914767350344242,0.08518759063633172,0.36921227279766056,0.04661266995703476,0.2242346812615306,0.042378250735253795,0.12432858812784224,0.029673603219360942,0.33263623911444556,0.047245071407979,0.10440995332266587,0.05289120658876703,0.8571582846306649,0.033801140471534506,0.8376802028446307,0.03493840272621663,0.9265276884128366,0.021637105306449383,0.6360076331714908,0.04845076664195802,0.7900144704291602,0.03967760228108142,0.8641068564644322,0.02971234111946207,252
IN,2017-2018,0.1318384905302527,0.026534198100237646,0.30542658160355707,0.03961402213742674,0.23796274032873738,0.03625995327630952,0.3903152892048184,0.04779940742962879,0.1698658230125677,0.03420809152864906,0.1597832600814238,0.037461975780077296,0.311248152585416,0.040098290261740825,0.0477146424735376,0.015850917826782256,0.8564646728528451,0.03624238145678667,0.7968174502854086,0.038881186065346296,0.9377505415859415,0.01863907882050687,0.6876239851772191,0.051386494575486365,0.831190393266103,0.03607550926540935,0.8803988762102113,0.026941869604682315,308
IN,2019-2020,0.0987040251307582,0.02675918735339006,0.3528545642673838,0.04646103075160926,0.3288286057887236,0.04812665499949545,0.5252637029787873,0.0516145363903124,0.2669503648149068,0.04663329398061251,0.14728532524603477,0.03436166284079613,0.22383199321203376,0.0404790448449796,0.07003042213096083,0.02124557035038951,0.7012296885502217,0.04163521657837833,0.7997478970163979,0.04502918099849821,0.9612005807641879,0.014325908372735554,0.6582729720125446,0.04955960531643013,0.7668871928940694,0.04488784285529476,0.8537155430827442,0.03365784040880306,164
IN,2021-2022,0.13558334542863654,0.04072057343560595,0.414297487367197,0.05514921254047256,0.18480070851464178,0.041081290149007216,0.5354055797652191,0.050326029918757544,0.29730244192959737,0.043649467167132285,0.12374341804099435,0.0318989651373149,0.2231567158892117,0.038092808605729236,0.10816462969169603,0.029981720970074524,0.9679731580815139,0.013533841886722835,0.8716226189215929,0.028874679190890245,0.8891746630241565,0.03175222558067642,0.7271885901799705,0.04484040148146759,0.8238064287356648,0.03536552677102262,0.8457835423279105,0.03260182048154446,191
